epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0966,1.37538,3.47619,1.64003,0.00445,0.33777,0.18007,0.09791,1.14216,3.74651,1.76845,5e-05,5e-05,5e-05
2,28.5103,1.22378,3.29561,1.50361,0.00589,0.3883,0.24795,0.15674,0.98561,3.67807,1.52436,0.000110272,0.000110272,0.000110272
3,41.504,1.03642,2.75155,1.34746,0.0099,0.47872,0.33303,0.21756,0.8504,3.54969,1.32648,0.00016807,0.00016807,0.00016807
4,54.4429,1.0178,1.99225,1.30961,0.02288,0.61436,0.50336,0.3422,0.92934,3.29395,1.33728,0.000223392,0.000223392,0.000223392
5,67.4376,0.92768,1.44533,1.2386,0.03269,0.65426,0.53078,0.32624,0.89846,3.2465,1.26317,0.00027624,0.00027624,0.00027624
6,80.5256,0.97297,1.33514,1.26474,1,0.13492,0.59037,0.4004,0.87738,3.13893,1.22151,0.000326613,0.000326613,0.000326613
