epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2757,1.3491,3.448,1.62866,0.00489,0.36702,0.2075,0.11904,1.08659,3.73186,1.68628,7.5e-05,7.5e-05,7.5e-05
2,29.9718,1.15019,3.05853,1.43298,0.00907,0.52128,0.35434,0.17517,0.88749,3.59367,1.3353,0.000159282,0.000159282,0.000159282
3,43.9453,1.03162,2.16785,1.34142,0.01349,0.62234,0.4646,0.29743,0.87082,3.33047,1.30184,0.0002401,0.0002401,0.0002401
4,57.8975,0.97907,1.75245,1.2912,0.99134,0.22487,0.59859,0.43602,0.89928,3.09049,1.31551,0.000317452,0.000317452,0.000317452
5,71.1478,0.94392,1.32344,1.25552,0.96455,0.19522,0.61398,0.46039,0.87846,3.00179,1.25897,0.00039134,0.00039134,0.00039134
